ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,gender,price_per_ml,price_per_ml_clip,combined_notes,price_log,notes_token_count,cluster
HRMN-0876,REANNA,Gauri,80000.0,30.0,Edp,"calabrian bergamot, orange, grapefruit","sichuan pepper, lavender, pink pepper, vetiver, patchouli, geranium, elemi","ambroxan, cedar, labdanum, leather, tonka bean, styrax, musk",Versatile,Male,2666.6666666666665,2666.6666666666665,"calabrian bergamot, orange, grapefruit, sichuan pepper, lavender, pink pepper, vetiver, patchouli, geranium, elemi, ambroxan, cedar, labdanum, leather, tonka bean, styrax, musk",11.289794413577894,17,2
HRMN-0877,ULYSSES,Gauri,80000.0,30.0,Edp,citrus,amber,warm spices,Day,Male,2666.6666666666665,2666.6666666666665,"citrus, amber, warm spices",11.289794413577894,3,1
HRMN-0878,GAELLE,Gauri,80000.0,30.0,Edp,citrus,fresh spices,rose,Day,Male,2666.6666666666665,2666.6666666666665,"citrus, fresh spices, rose",11.289794413577894,3,1
HRMN-0879,Salvia,Euodia,799000.0,100.0,Edp,"orange, pine",clary sage,"guaiacwood, patchouli",Day,Male,7990.0,7990.0,"orange, pine, clary sage, guaiacwood, patchouli",13.591117476312084,5,2
HRMN-0880,Iridace,Euodia,799000.0,100.0,Edp,"orange, mandarin","orris extract, carrot seed, jasmine","vanila, sandalwood",Day,Female,7990.0,7990.0,"orange, mandarin, orris extract, carrot seed, jasmine, vanila, sandalwood",13.591117476312084,7,4
HRMN-0881,Nicotiana,Euodia,799000.0,100.0,Edp,"bergamot, fig, bay leaf","cedarwood, vetiver, musk","hay, tobacco",Day,Male,7990.0,7990.0,"bergamot, fig, bay leaf, cedarwood, vetiver, musk, hay, tobacco",13.591117476312084,8,2
HRMN-0882,Gerania,Euodia,799000.0,100.0,Edp,"bergamot, mandarin","geranium, palmarosa","clove, eucalyptus",Day,Male,7990.0,7990.0,"bergamot, mandarin, geranium, palmarosa, clove, eucalyptus",13.591117476312084,6,2
HRMN-0883,Freese,Euodia,799000.0,100.0,Edp,"petigran, mandarin, pepper","freesia, neroli","patchouli, musk",Day,Male,7990.0,7990.0,"petigran, mandarin, pepper, freesia, neroli, patchouli, musk",13.591117476312084,7,4
HRMN-0884,VIP Men,Avicenna,439000.0,100.0,Edt,"nutmeg, pink pepper, saffron","rose, tonka bean, gardenia","labdanum, blond woods, vanilla",Versatile,Male,4390.0,4390.0,"nutmeg, pink pepper, saffron, rose, tonka bean, gardenia, labdanum, blond woods, vanilla",12.992256969959042,9,3
HRMN-0885,Starburst,Avicenna,168350.0,50.0,Edp,"coffee, orange blossom","jasmine sambac, bitter almond","vanilla, cashmere wood",Versatile,Female,3367.0,3367.0,"coffee, orange blossom, jasmine sambac, bitter almond, vanilla, cashmere wood",12.033806364577519,6,4
HRMN-0886,VIP Women,Avicenna,155400.0,50.0,Edp,"pear, peach, melon, blackcurrant","ylang ylang, lily of the valley, rose","lactonic, sandalwood, musky",Versatile,Female,3108.0,3108.0,"pear, peach, melon, blackcurrant, ylang ylang, lily of the valley, rose, lactonic, sandalwood, musky",11.953764151901414,10,0
HRMN-0887,Wild Men,Avicenna,179550.0,100.0,Edt,citrus,"geranium, lavender","amber, patchouli",Versatile,Male,1795.5,1795.5,"citrus, geranium, lavender, amber, patchouli",12.098214569117973,5,2
HRMN-0888,Adventure,Avicenna,239400.0,100.0,Edt,"bergamot, pink pepper, grapefruit","lavender, cardamom, aquatic","blonde woods, oak moss, cashmere, white musk",Day,Male,2394.0,2394.0,"bergamot, pink pepper, grapefruit, lavender, cardamom, aquatic, blonde woods, oak moss, cashmere, white musk",12.385895249206726,10,2
HRMN-0889,Lumiere,Avicenna,224400.0,100.0,Edp,"honey dew melon, green apple, lemon","rose, viole, orange blossom","musk, patchoulli, sandalwood",Day,Female,2244.0,2244.0,"honey dew melon, green apple, lemon, rose, viole, orange blossom, musk, patchoulli, sandalwood",12.321189908948735,9,4
HRMN-0890,Eclat,Avicenna,263400.0,100.0,Edt,"citrus, watery","grapefruit, aromatic, jasmine","woody, amber, tonka bean",Versatile,Male,2634.0,2634.0,"citrus, watery, grapefruit, aromatic, jasmine, woody, amber, tonka bean",12.481432864791325,8,3
HRMN-0891,La Femme,Avicenna,263400.0,100.0,Edp,"lemon, grapefruit, apple, pear","lilly, jasmine, rose, violet","sandalwood, amber, vanilla, musk",Versatile,Female,2634.0,2634.0,"lemon, grapefruit, apple, pear, lilly, jasmine, rose, violet, sandalwood, amber, vanilla, musk",12.481432864791325,12,1
HRMN-0892,Miracle,Avicenna,263400.0,100.0,Edp,"red fruits, orange, pepper","jasmine, rose, violet","vanilla, powdery, musk, caramel",Night,Female,2634.0,2634.0,"red fruits, orange, pepper, jasmine, rose, violet, vanilla, powdery, musk, caramel",12.481432864791325,10,1
HRMN-0893,Summer Bloom,Azwary Perfume,180000.0,50.0,Edp,"jasmine, grapefruit, freesia","tuberose, rose","musk, cashmere",Day,Female,3600.0,3600.0,"jasmine, grapefruit, freesia, tuberose, rose, musk, cashmere",12.100717685412471,7,1
HRMN-0894,Sexy Blue,Azwary Perfume,250000.0,50.0,Edp,"red apple, peach, red pepper","jasmine, rose","musk, amber, sandalwood",Day,Female,5000.0,5000.0,"red apple, peach, red pepper, jasmine, rose, musk, amber, sandalwood",12.429220196836383,8,1
HRMN-0895,Senorita,Azwary Perfume,375000.0,50.0,Edp,"green apple, papaya blossom, strawberry","nutmeg, lychee, yuzu","mint, pine",Day,Female,7500.0,7500.0,"green apple, papaya blossom, strawberry, nutmeg, lychee, yuzu, mint, pine",12.834683971615659,8,1
